Batch,Para1,Para2,Para3,Para4,Para5
1.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0,0.16666666666666666
7.0,0.0,0.0,0.0,0.0,0.14285714285714285
8.0,0.0,0.0,0.0,0.0,0.125
9.0,0.0,0.0,0.1111111111111111,0.0,0.2222222222222222
10.0,0.0,0.0,0.1,0.0,0.3
11.0,0.0,0.0,0.09090909090909091,0.0,0.2727272727272727
12.0,0.0,0.0,0.08333333333333333,0.0,0.25
13.0,0.0,0.0,0.07692307692307693,0.0,0.23076923076923078
14.0,0.0,0.0,0.07142857142857142,0.0,0.21428571428571427
15.0,0.0,0.0,0.06666666666666667,0.0,0.2
16.0,0.0,0.0,0.0625,0.0,0.1875
17.0,0.0,0.0,0.058823529411764705,0.0,0.17647058823529413
18.0,0.0,0.0,0.05555555555555555,0.0,0.2222222222222222
19.0,0.0,0.0,0.05263157894736842,0.0,0.21052631578947367
20.0,0.0,0.0,0.05,0.0,0.2
21.0,0.0,0.0,0.047619047619047616,0.0,0.19047619047619047
22.0,0.0,0.0,0.09090909090909091,0.0,0.18181818181818182
23.0,0.043478260869565216,0.0,0.08695652173913043,0.0,0.17391304347826086
24.0,0.041666666666666664,0.0,0.08333333333333333,0.0,0.16666666666666666
25.0,0.04,0.0,0.08,0.0,0.16
26.0,0.038461538461538464,0.0,0.07692307692307693,0.0,0.15384615384615385
27.0,0.037037037037037035,0.0,0.07407407407407407,0.0,0.18518518518518517
28.0,0.03571428571428571,0.0,0.07142857142857142,0.0,0.17857142857142858
29.0,0.034482758620689655,0.0,0.06896551724137931,0.0,0.1724137931034483
30.0,0.03333333333333333,0.0,0.06666666666666667,0.0,0.16666666666666666
31.0,0.03225806451612903,0.0,0.06451612903225806,0.0,0.16129032258064516
32.0,0.03125,0.0,0.0625,0.0,0.15625
33.0,0.030303030303030304,0.0,0.06060606060606061,0.0,0.15151515151515152
34.0,0.029411764705882353,0.0,0.058823529411764705,0.0,0.14705882352941177
