Batch,Para1,Para2,Para3,Para4,Para5
165,0.417,0.43125,43002,307.75,892
166,0.425,0.425,44223,294.75,502
167,0.425,0.44325,52776,298,668
168,0.421,0.43775,50911,308.75,858
169,0.421,0.4375,56360,309.75,616
170,0.421,0.43275,56328,310.75,686
171,0.421,0.4265,45300,309.75,789
172,0.425,0.44275,45976,313.25,761
173,0.421,0.43925,49712,318,718
174,0.421,0.44675,47969,315.5,863
175,0.425,0.4455,52984,314,910
176,0.417,0.44275,57936,315.75,807
177,0.425,0.43025,46265,306.5,642
178,0.417,0.43775,49305,322,744
179,0.421,0.4355,54270,317.25,618
180,0.417,0.43075,49512,318.25,676
181,0.417,0.44075,49608,297.75,712
182,0.417,0.43025,45831,299,730
183,0.421,0.43375,48435,304.25,639
184,0.417,0.432,51152,308,744
185,0.417,0.44175,51827,309,861
186,0.417,0.4365,52647,315,794
187,0.417,0.437,48886,310.75,872
188,0.417,0.44425,50782,310.75,724
189,0.421,0.44225,50911,306.25,537
190,0.417,0.441,50252,308.5,796
191,0.419,0.42725,48757,315.5,606
192,0.421,0.43125,49480,309.5,733
193,0.421,0.43425,52422,309.75,565
194,0.417,0.42775,45204,303.25,653
195,0.421,0.43325,50766,310,793
196,0.417,0.43575,48596,301,744
197,0.421,0.43525,56344,324,914
198,0.421,0.43725,54496,320.25,831
199,0.421,0.4355,38244,317.5,858
200,0.421,0.431,46217,294,690
201,0.421,0.435,56280,320,814
202,0.417,0.44675,51618,327.75,602
203,0.417,0.42825,46876,317.75,798
204,0.421,0.442,50380,318.75,709
205,0.433,0.43725,47937,306.25,950
206,0.415,0.439,51088,318.5,793
207,0.421,0.43925,50557,311.5,906
208,0.425,0.4255,46924,306,663
209,0.417,0.43525,46313,322.5,891
210,0.419,0.4335,54372,303.5,672
211,0.421,0.44275,60508,315.75,693
212,0.421,0.432,49978,312,828
213,0.417,0.43175,45044,314,719
214,0.421,0.433,48837,319,761
215,0.417,0.4355,47165,314,892
216,0.419,0.452,57630,328.25,828
217,0.421,0.44,61303,314.25,721
218,0.421,0.4445,52952,327.75,777
219,0.421,0.4355,48966,315,721
220,0.417,0.43475,52727,323,824
221,0.417,0.4295,43548,308,707
222,0.417,0.42875,45349,307.75,662
223,0.421,0.4445,53129,324,677
224,0.417,0.43225,54274,317.5,628
225,0.425,0.447,48339,312.25,763
226,0.417,0.43425,52100,307.75,822
227,0.417,0.43025,49239,315.25,901
228,0.416,0.438,47438,304.25,782
229,0.417,0.43375,48274,308.25,716
230,0.417,0.4445,48660,321.5,712
231,0.421,0.433,50750,320.5,788
232,0.417,0.436,48602,310,808
233,0.417,0.44825,49673,320.5,623
234,0.421,0.4305,46201,303.75,618
235,0.417,0.43475,51272,307.25,632
236,0.421,0.438,49110,311.5,864
237,0.417,0.427,53419,307.5,684
238,0.421,0.42125,42439,303.5,648
239,0.421,0.42575,41732,305.75,791
240,0.417,0.43025,42310,315.5,758
241,0.417,0.4495,49384,327.5,842
242,0.417,0.45525,51875,320.5,861
243,0.413,0.43025,46008,297.5,775
244,0.417,0.44675,55839,318.5,674
245,0.421,0.4365,46097,306,905
246,0.433,0.435,46056,313.75,672
247,0.421,0.418,48853,303.5,686
248,0.409,0.4265745,52342,313.5,793
249,0.413,0.44225,47840,309.75,950
250,0.409,0.4345,47760,314.5,698
251,0.413,0.439,48821,309.25,763
252,0.409,0.4325,43998,314.5,782
253,0.425,0.42475,47985,308.25,738
254,0.421,0.44675,46088,302.75,665
255,0.425,0.4185,46040,309.75,814
256,0.413,0.4345,47937,306,761
257,0.417,0.43675,47503,308.25,644
258,0.413,0.44525,44995,318.25,866
259,0.421,0.44175,46410,310.75,714
260,0.417,0.43675,49609,314.25,665
261,0.419,0.44225,48773,426.6666667,866
262,0.417,0.43275,48902,314.75,873
263,0.417,0.441,46972,305.75,842
264,0.413,0.4245,48419,297.75,726
265,0.417,0.4485,54239,322.75,1031
266,0.417,0.433,47551,302,835
267,0.421,0.4435,50187,312.75,658
268,0.421,0.4585,47069,309.5,747
269,0.419,0.454,48387,319.25,859
270,0.417,0.437,50300,317,1040
271,0.413,0.428,49271,304.5,784
272,0.413,0.43125,48242,306.5,704
273,0.413,0.45,56248,326,774
274,0.417,0.4395,47607,301.5,660
275,0.421,0.42475,46088,295,868
276,0.417,0.452,48907,313.75,726
277,0.417,0.4343335,50702,313.5,752
278,0.417,0.4485,50091,321.5,929
279,0.413,0.42725,45831,309.75,763
280,0.417,0.432,52744,309.75,612
281,0.413,0.43775,48821,309,803
282,0.413,0.44075,49882,302.5,861
283,0.417,0.43025,52302,319.25,802
284,0.417,0.44,43975,310.75,668
285,0.413,0.432,46394,306.75,882
286,0.413,0.43925,46635,308,817
287,0.417,0.43825,51790,305.25,1004
288,0.417,0.41525,54994,303.5,751
289,0.421,0.42275,47567,311.25,940
290,0.421,0.4425,52132,302.5,756
291,0.415,0.425,50959,306.25,1186
292,0.417,0.43125,49078,312.25,1055
293,0.421,0.439,45092,314.75,686
294,0.421,0.4435,52551,305.75,772
295,0.413,0.4475,49239,304,721
296,0.417,0.436,53836,318.5,775
297,0.417,0.4325,45478,318.25,950
298,0.417,0.44925,45895,315.5,935
299,0.421,0.42725,48066,304.75,763
300,0.417,0.45175,51859,311.5,709
301,0.417,0.4295,52406,319.75,722
302,0.417,0.43475,51522,317.5,678
303,0.417,0.4445,47808,324.25,962
304,0.421,0.44075,52468,312.5,637
305,0.421,0.43225,48692,299.25,642
306,0.421,0.442,52518,321,976
307,0.417,0.4375,53499,305,768
308,0.429,0.445,54512,313,696
309,0.417,0.437,44529,311.75,884
310,0.417,0.43675,53852,318.5,1122
311,0.417,0.44,52438,312.75,774
312,0.417,0.42825,43902,305,761
313,0.417,0.44025,50509,308.25,886
314,0.417,0.4305,47937,308.25,882
315,0.417,0.43475,48708,309.5,910
316,0.417,0.43675,49834,313,735
317,0.417,0.441,55251,324.25,980
318,0.421,0.4085,46740,311.75,802
319,0.423,0.4345,50654,315.75,744
320,0.421,0.4265,46780,305.25,779
321,0.429,0.44075,48926,317.75,660
322,0.437,0.578333333,57936,313.75,940
323,0.421,0.44525,47969,316.75,738
324,0.421,0.445,49271,304.5,733
325,0.423,0.4385,51297,301,807
326,0.429,0.432275,47390,426.25,716
327,0.421,0.4355,49516,309.5,730
328,0.421,0.4355,50606,313,821
329,0.421,0.43225,51988,304.25,863
330,0.417,0.427,47197,298.75,840
331,0.421,0.4315,51972,318.75,822
332,0.421,0.4575,58000,343.25,1060
333,0.417,0.41725,42150,302.25,775
334,0.417,0.445,60476,317.5,795
335,0.441,0.453,60202,306.25,943
336,0.419,0.429,48982,310.5,840
337,0.421,0.43825,49962,309,852
338,0.425,0.44725,57052,325.75,1017
339,0.417,0.4385,50975,320.5,833
340,0.417,0.45175,56537,318.5,793
341,0.421,0.43825,50139,319.75,887
342,0.425,0.43175,49898,306,872
343,0.417,0.4445,49207,316.75,793
344,0.421,0.43975,53547,317,826
345,0.417,0.4385,47101,312,707
346,0.413,0.42,45027,313,735
347,0.417,0.436,53579,309.5,670
348,0.417,0.443,53692,309.5,740
349,0.423,0.43075,55332,317.25,1034
350,0.421,0.43875,54672,305.25,990
351,0.421,0.431,48564,308.5,943
352,0.419,0.445,55412,328.25,1046
353,0.419,0.4485,48998,313.25,959
354,0.417,0.441,45558,314,644
355,0.425,0.439,52454,307.5,744
356,0.417,0.429,53901,315.25,733
357,0.417,0.4345,49737,316.25,742
358,0.417,0.44275,52824,317.25,684
359,0.419,0.43525,50268,313.25,1139
360,0.417,0.436,52302,309.75,746
361,0.419,0.43475,51522,312.75,957
362,0.417,0.44425,55312,321.25,934
363,0.417,0.425,47326,306,681
364,0.417,0.446,48403,311.75,875
365,0.417,0.441,48274,302,833
366,0.421,0.44125,48290,315,732
367,0.421,0.43925,52357,314,730
368,0.421,0.43525,52031,305.75,938
369,0.421,0.4375,53290,311.75,952
370,0.425,0.44075,58000,308,980
371,0.417,0.439,55653,320,878
372,0.417,0.4235,44690,298.25,957
373,0.417,0.43775,49223,305,905
374,0.423,0.434,49078,312.25,889
375,0.419,0.429,49094,312.25,914
376,0.419,0.42675,47165,303.25,870
377,0.417,0.4325,49850,307.75,734
378,0.413,0.43875,53338,311,782
379,0.417,0.4325,53322,317,908
380,0.417,0.429,46956,297,940
381,0.421,0.439,56232,315,1048
382,0.421,0.44975,49448,313,1090
383,0.417,0.448,43709,317.5,985
384,0.417,0.4525,54528,312.75,970
385,0.419,0.426,45863,300.5,920
386,0.419,0.424,46458,315.25,920
